DATAFLOW,LAST UPDATE,freq,SEXO,edad,sizeclas,unit,geo,TIME_PERIOD,OBS_VALUE,COMERCIAL,PROBL COMER
ENERO,1,A,femenimo,20,GE10,100,AT,2008,737,ADM,INFLACION
FEBRERO ,2,B,masculino ,25,GE10,120,AT,2009,732,FINANCIERO,DESEMPLEO
ENERO,1,C,masculino ,26,GE10,140,AT,2010,734,CAMARERO,INFLACION
FEBRERO ,2,B,masculino ,30,GE10,160,AT,2011,800,DEPENDIENTE,DESEMPLEO
MARZO,3,C,femenimo,35,GE10,180,BE,2008,682,ABOGADO,INFLACION
NOVIEMBRE,11,A,femenimo,38,GE10,200,BE,2009,678,ADM,INFLACION
DICIEMBRE,12,A,femenimo,45,GE10,220,BE,2010,673,FINANCIERO,INFLACION
ABRIL,4,B,masculino ,50,GE10,240,BE,2011,674,CAMARERO,DESEMPLEO
JUNIO,6,C,masculino ,20,GE10,260,BG,2008,817,DEPENDIENTE,DESEMPLEO
AGOSTO,8,B,masculino ,25,GE10,280,BG,2009,833,ABOGADO,DESEMPLEO
OCTUBRE,10,C,femenimo,26,GE10,300,BG,2010,842,ADM,INFLACION
MAYO,5,A,femenimo,30,GE10,320,BG,2011,840,FINANCIERO,DESEMPLEO
JULIO,7,A,femenimo,35,GE10,340,CH,2010,838,CAMARERO,INFLACION
SEPTIEMBRE,9,B,masculino ,38,GE10,360,CZ,2008,736,DEPENDIENTE,DESEMPLEO
ENERO,1,C,masculino ,45,GE10,380,CZ,2009,728,ABOGADO,INFLACION
FEBRERO ,2,B,masculino ,50,GE10,400,CZ,2010,729,ADM,INFLACION
ENERO,1,C,femenimo,20,GE10,420,CZ,2011,728,FINANCIERO,INFLACION
FEBRERO ,2,A,femenimo,25,GE10,440,DE,2008,785,CAMARERO,DESEMPLEO
MARZO,3,A,femenimo,26,GE10,460,DE,2009,784,DEPENDIENTE,DESEMPLEO
NOVIEMBRE,11,B,masculino ,30,GE10,480,DE,2010,784,ABOGADO,DESEMPLEO
DICIEMBRE,12,C,masculino ,35,GE10,500,DE,2011,784,ADM,INFLACION
ABRIL,4,B,masculino ,38,GE10,520,DK,2008,873,FINANCIERO,DESEMPLEO
JUNIO,6,C,femenimo,45,GE10,540,DK,2009,869,CAMARERO,INFLACION
AGOSTO,8,A,femenimo,50,GE10,560,DK,2010,872,DEPENDIENTE,DESEMPLEO
OCTUBRE,10,A,femenimo,20,GE10,580,DK,2011,869,ABOGADO,INFLACION
MAYO,5,B,masculino ,25,GE10,600,EL,2009,761,ADM,INFLACION
JULIO,7,C,masculino ,26,GE10,620,ES,2008,733,FINANCIERO,INFLACION
SEPTIEMBRE,9,B,masculino ,30,GE10,640,ES,2009,726,CAMARERO,DESEMPLEO
ENERO,1,C,femenimo,35,GE10,660,ES,2010,730,DEPENDIENTE,DESEMPLEO
FEBRERO ,2,A,femenimo,38,GE10,680,ES,2011,730,ABOGADO,DESEMPLEO
ENERO,1,A,femenimo,45,GE10,700,FI,2008,774,ADM,INFLACION
FEBRERO ,2,B,masculino ,50,GE10,720,FI,2009,781,FINANCIERO,DESEMPLEO
MARZO,3,C,masculino ,20,GE10,740,FI,2010,784,CAMARERO,INFLACION
NOVIEMBRE,11,B,masculino ,25,GE10,780,FI,2011,781,DEPENDIENTE,DESEMPLEO
DICIEMBRE,12,C,femenimo,26,GE10,800,FR,2009,673,ABOGADO,INFLACION
ABRIL,4,A,femenimo,30,GE10,820,FR,2010,671,ADM,INFLACION
JUNIO,6,A,femenimo,35,GE10,840,FR,2011,668,FINANCIERO,INFLACION
AGOSTO,8,B,masculino ,38,GE10,860,HR,2008,843,CAMARERO,DESEMPLEO
OCTUBRE,10,C,masculino ,45,GE10,880,HR,2009,843,DEPENDIENTE,DESEMPLEO
MAYO,5,B,masculino ,50,GE10,900,HR,2010,843,ABOGADO,DESEMPLEO
JULIO,7,C,femenimo,20,GE10,920,HR,2011,843,ADM,INFLACION
SEPTIEMBRE,9,A,femenimo,25,GE10,940,HU,2008,705,FINANCIERO,DESEMPLEO
ENERO,1,A,femenimo,26,GE10,960,HU,2009,715,CAMARERO,INFLACION
FEBRERO ,2,B,masculino ,30,GE10,980,HU,2010,741,DEPENDIENTE,DESEMPLEO
ENERO,1,C,masculino ,35,GE10,100,HU,2011,742,ABOGADO,INFLACION
FEBRERO ,2,B,masculino ,38,GE10,120,IE,2008,842,ADM,INFLACION
MARZO,3,C,femenimo,45,GE10,140,IE,2009,826,FINANCIERO,INFLACION
NOVIEMBRE,11,A,femenimo,50,GE10,160,IE,2010,842,CAMARERO,DESEMPLEO
DICIEMBRE,12,A,femenimo,20,GE10,180,IE,2011,853,DEPENDIENTE,DESEMPLEO
ABRIL,4,B,masculino ,25,GE10,200,IT,2008,711,ABOGADO,DESEMPLEO
JUNIO,6,C,masculino ,26,GE10,220,LT,2008,712,ADM,INFLACION
AGOSTO,8,B,masculino ,30,GE10,240,LT,2009,703,FINANCIERO,DESEMPLEO
OCTUBRE,10,C,femenimo,35,GE10,260,LT,2010,710,CAMARERO,INFLACION
MAYO,5,A,femenimo,38,GE10,280,LT,2011,713,DEPENDIENTE,DESEMPLEO
JULIO,7,A,femenimo,45,GE10,300,LU,2008,859,ABOGADO,INFLACION
SEPTIEMBRE,9,B,masculino ,50,GE10,320,LU,2009,859,ADM,INFLACION
ENERO,1,C,masculino ,20,GE10,340,LU,2010,859,FINANCIERO,INFLACION
FEBRERO ,2,B,masculino ,25,GE10,360,LU,2011,859,CAMARERO,DESEMPLEO
ENERO,1,C,femenimo,26,GE10,380,LV,2008,788,DEPENDIENTE,DESEMPLEO
FEBRERO ,2,A,femenimo,30,GE10,400,LV,2009,779,ABOGADO,DESEMPLEO
MARZO,3,A,femenimo,35,GE10,420,LV,2010,787,ADM,INFLACION
NOVIEMBRE,11,B,masculino ,38,GE10,440,LV,2011,787,FINANCIERO,DESEMPLEO
DICIEMBRE,12,C,masculino ,45,GE10,460,MT,2008,923,CAMARERO,INFLACION
ABRIL,4,B,masculino ,50,GE10,480,MT,2009,921,DEPENDIENTE,DESEMPLEO
JUNIO,6,C,femenimo,20,GE10,500,NL,2008,774,ABOGADO,INFLACION
AGOSTO,8,A,femenimo,25,GE10,520,NL,2009,774,ADM,INFLACION
OCTUBRE,10,A,femenimo,26,GE10,540,NL,2010,771,FINANCIERO,INFLACION
MAYO,5,B,masculino ,30,GE10,560,NL,2011,769,CAMARERO,DESEMPLEO
JULIO,7,C,masculino ,35,GE10,580,PL,2008,777,DEPENDIENTE,DESEMPLEO
SEPTIEMBRE,9,B,masculino ,38,GE10,600,PT,2009,798,ABOGADO,DESEMPLEO
ENERO,1,C,femenimo,45,GE10,620,PT,2010,798,ADM,INFLACION
FEBRERO ,2,A,femenimo,50,GE10,640,PT,2011,798,FINANCIERO,DESEMPLEO
ENERO,1,A,femenimo,20,GE10,660,RO,2009,754,CAMARERO,INFLACION
FEBRERO ,2,B,masculino ,25,GE10,680,RO,2010,767,DEPENDIENTE,DESEMPLEO
MARZO,3,C,masculino ,26,GE10,700,RO,2011,771,ABOGADO,INFLACION
NOVIEMBRE,11,B,masculino ,30,GE10,720,SE,2008,668,ADM,INFLACION
DICIEMBRE,12,C,femenimo,35,GE10,740,SE,2009,668,FINANCIERO,INFLACION
ABRIL,4,A,femenimo,38,GE10,780,SE,2010,668,CAMARERO,DESEMPLEO
JUNIO,6,A,femenimo,45,GE10,800,SE,2011,668,DEPENDIENTE,DESEMPLEO
AGOSTO,8,B,masculino ,50,GE10,820,SI,2008,846,ABOGADO,DESEMPLEO
OCTUBRE,10,C,masculino ,20,GE10,840,SI,2009,856,ADM,INFLACION
MAYO,5,B,masculino ,25,GE10,860,SI,2010,857,FINANCIERO,DESEMPLEO
JULIO,7,C,femenimo,26,GE10,880,SI,2011,860,CAMARERO,INFLACION
SEPTIEMBRE,9,A,femenimo,30,GE10,900,SK,2009,742,DEPENDIENTE,DESEMPLEO
ENERO,1,A,femenimo,35,GE10,920,SK,2010,745,ABOGADO,INFLACION
FEBRERO ,2,B,masculino ,38,GE10,940,SK,2011,741,ADM,INFLACION
ENERO,1,C,masculino ,45,GE10,960,UK,2008,855,FINANCIERO,INFLACION
FEBRERO ,2,B,masculino ,50,GE10,980,UK,2009,854,CAMARERO,DESEMPLEO
MARZO,3,C,femenimo,20,GE10,100,UK,2010,855,DEPENDIENTE,DESEMPLEO
NOVIEMBRE,11,A,femenimo,25,GE10,120,UK,2011,856,ABOGADO,DESEMPLEO
DICIEMBRE,12,A,femenimo,26,TOTAL,140,BG,2008,818,ADM,INFLACION
ABRIL,4,B,masculino ,30,TOTAL,160,BG,2009,834,FINANCIERO,DESEMPLEO
JUNIO,6,C,masculino ,35,TOTAL,180,BG,2010,843,CAMARERO,INFLACION
AGOSTO,8,B,masculino ,38,TOTAL,200,BG,2011,840,DEPENDIENTE,DESEMPLEO
OCTUBRE,10,C,femenimo,45,TOTAL,220,CH,2010,838,ABOGADO,INFLACION
MAYO,5,A,femenimo,50,TOTAL,240,CY,2008,841,ADM,INFLACION
JULIO,7,A,femenimo,20,TOTAL,260,CY,2009,850,FINANCIERO,INFLACION
SEPTIEMBRE,9,B,masculino ,25,TOTAL,280,CY,2010,848,CAMARERO,DESEMPLEO
ENERO,1,C,masculino ,26,TOTAL,300,CY,2011,851,DEPENDIENTE,DESEMPLEO
FEBRERO ,2,B,masculino ,30,TOTAL,320,CZ,2008,736,ABOGADO,DESEMPLEO
ENERO,1,C,femenimo,35,TOTAL,340,CZ,2009,729,ADM,INFLACION
FEBRERO ,2,A,femenimo,38,TOTAL,360,CZ,2010,730,FINANCIERO,DESEMPLEO
MARZO,3,A,femenimo,45,TOTAL,380,CZ,2011,729,CAMARERO,INFLACION
NOVIEMBRE,11,B,masculino ,50,TOTAL,400,EE,2009,727,DEPENDIENTE,DESEMPLEO
DICIEMBRE,12,C,masculino ,20,TOTAL,420,EE,2010,731,ABOGADO,INFLACION
ABRIL,4,B,masculino ,25,TOTAL,440,EE,2011,732,ADM,INFLACION
JUNIO,6,C,femenimo,26,TOTAL,460,ES,2008,732,FINANCIERO,INFLACION
AGOSTO,8,A,femenimo,30,TOTAL,480,ES,2009,726,CAMARERO,DESEMPLEO
OCTUBRE,10,A,femenimo,35,TOTAL,500,ES,2010,730,DEPENDIENTE,DESEMPLEO
MAYO,5,B,masculino ,38,TOTAL,520,ES,2011,729,ABOGADO,DESEMPLEO
JULIO,7,C,masculino ,45,TOTAL,540,HU,2011,742,ADM,INFLACION
SEPTIEMBRE,9,B,masculino ,50,TOTAL,560,IE,2008,845,FINANCIERO,DESEMPLEO
ENERO,1,C,femenimo,20,TOTAL,580,IE,2009,833,CAMARERO,INFLACION
FEBRERO ,2,A,femenimo,25,TOTAL,600,IE,2010,850,DEPENDIENTE,DESEMPLEO
ENERO,1,A,femenimo,26,TOTAL,620,IE,2011,856,ABOGADO,INFLACION
FEBRERO ,2,B,masculino ,30,TOTAL,640,LT,2008,712,ADM,INFLACION
MARZO,3,C,masculino ,35,TOTAL,660,LT,2009,705,FINANCIERO,INFLACION
NOVIEMBRE,11,B,masculino ,38,TOTAL,680,LT,2010,711,CAMARERO,DESEMPLEO
DICIEMBRE,12,C,femenimo,45,TOTAL,700,LT,2011,713,DEPENDIENTE,DESEMPLEO
ABRIL,4,A,femenimo,50,TOTAL,720,LV,2008,789,ABOGADO,DESEMPLEO
JUNIO,6,A,femenimo,20,TOTAL,740,LV,2009,781,ADM,INFLACION
AGOSTO,8,B,masculino ,25,TOTAL,780,LV,2010,788,FINANCIERO,DESEMPLEO
OCTUBRE,10,C,masculino ,26,TOTAL,800,LV,2011,788,CAMARERO,INFLACION
MAYO,5,B,masculino ,30,TOTAL,820,NL,2008,781,DEPENDIENTE,DESEMPLEO
JULIO,7,C,femenimo,35,TOTAL,840,NL,2009,781,ABOGADO,INFLACION
SEPTIEMBRE,9,A,femenimo,38,TOTAL,860,NL,2010,777,ADM,INFLACION
ENERO,1,A,femenimo,45,TOTAL,880,NL,2011,776,FINANCIERO,INFLACION
FEBRERO ,2,B,masculino ,50,TOTAL,900,PT,2009,798,CAMARERO,DESEMPLEO
ENERO,1,C,masculino ,20,TOTAL,920,PT,2010,798,DEPENDIENTE,DESEMPLEO
FEBRERO ,2,B,masculino ,25,TOTAL,940,PT,2011,798,ABOGADO,DESEMPLEO
MARZO,3,C,femenimo,26,TOTAL,960,RO,2008,764,ADM,INFLACION
NOVIEMBRE,11,A,femenimo,30,TOTAL,980,RO,2009,756,FINANCIERO,DESEMPLEO
DICIEMBRE,12,A,femenimo,35,TOTAL,100,RO,2010,768,CAMARERO,INFLACION
ABRIL,4,B,masculino ,38,TOTAL,120,RO,2011,772,DEPENDIENTE,DESEMPLEO
JUNIO,6,C,masculino ,45,TOTAL,140,SI,2008,849,ABOGADO,INFLACION
AGOSTO,8,B,masculino ,50,TOTAL,160,SI,2009,859,ADM,INFLACION
OCTUBRE,10,C,femenimo,20,TOTAL,180,SI,2010,859,FINANCIERO,INFLACION
MAYO,5,A,femenimo,25,TOTAL,200,SI,2011,863,CAMARERO,DESEMPLEO
JULIO,7,A,femenimo,26,TOTAL,220,SK,2008,745,DEPENDIENTE,DESEMPLEO
SEPTIEMBRE,9,B,masculino ,30,TOTAL,240,SK,2009,744,ABOGADO,DESEMPLEO
ENERO,1,C,masculino ,35,TOTAL,260,SK,2010,746,ADM,INFLACION
FEBRERO ,2,B,masculino ,38,TOTAL,280,SK,2011,742,FINANCIERO,DESEMPLEO
ENERO,1,C,femenimo,45,TOTAL,300,UK,2008,859,CAMARERO,INFLACION
FEBRERO ,2,A,femenimo,50,TOTAL,320,UK,2009,857,DEPENDIENTE,DESEMPLEO
MARZO,3,A,masculino ,20,TOTAL,340,UK,2010,859,ABOGADO,INFLACION
NOVIEMBRE,11,B,femenimo,25,TOTAL,360,UK,2011,859,ADM,INFLACION
